title,pub_status,pub_type,parc_status,parc_number,lib_status,pub_location,data_link,reference,publication_year,author,journal_title,doi,Abstract,Keywords,importance,comments,PDF_in_Drive
"Shifting Baselines, Local Impacts, And Global Change On Coral Reefs",PUBLISHED,paper,ASSIGNED,PARC-0011,UPLOADED,https://dx.plos.org/10.1371/journal.pbio.0060054,-,"Knowlton, N. and J. Jackson 2008. Shifting baselines, local impacts, and global change on coral reefs. PLoS Biol 6(2): e54. (pgs. 215-220) {PARC-0011}",2008,"Knowlton, Nancy; Jackson, Jeremy B. C",PLoS Biology,10.1371/journal.pbio.0060054,,,reference point,Library info not verified,yes
Reef Fishes Have Higher Parasite Richness At Unfished Palmyra Atoll Compared To Fished Kiritimati Island,PUBLISHED,paper,ASSIGNED,PARC-0012,UPLOADED,https://doi.org/10.1007/s10393-008-0196-7,-,"Lafferty, K.D., J.C. Shaw and A.M. Kuris 2008. Reef fishes have higher parasite richness at unfished Palmyra Atoll compared to fished Kiritimati Island. EcoHealth 5(3): 538-345. {PARC-0012}",2008,"Lafferty, Kevin D; Shaw, Jenny C; Kuris, Armand M",EcoHealth,10.1007/s10393-008-0196-7,,,main study site,Library info not verified,yes
"Us Coral Reefs In The Line And Phoenix Islands, Central Pacific Ocean: Status, Threats And Significance",PUBLISHED,book chapter,ASSIGNED,PARC-0013,UPLOADED,http://link.springer.com/10.1007/978-1-4020-6847-8_16,-,"Maragos, J., A. Friedlander, S. Godwin, C. Musburger, R. Tsuda, E. Flint, O. Pantos, P. Ayotte, E. Sala, S.A. Sandin, S. McTee, D. Siciliano and D. Obura 2008. U.S. coral reefs in the Line and Phoenix Islands, central Pacific Ocean: status, threats and significance. In: B. Riegl and R.E. Dodge (Eds) Coral Reefs of the USA, Springer, pp. 643-654. {PARC-0013}",2008,"Maragos, James; Friedlander, Alan M.; Godwin, Scott; Musburger, Craig; Tsuda, Roy; Flint, Elizabeth; Pantos, Olga; Ayotte, Paula; Sala, Enric; Sandin, Stuart; McTee, Sarah; Siciliano, Daria; Obura, David",Coral Reefs of the USA,NA,,,main study site,Book chapter,yes
"Us Coral Reefs In The Line And Phoenix Islands, Central Pacific Ocean: History, Geology, Oceanography, And Biology",PUBLISHED,book chapter,ASSIGNED,PARC-0014,UPLOADED,http://link.springer.com/10.1007/978-1-4020-6847-8_15,-,"Maragos, J., J. Miller, J. Gove, E. DeMartini, A. Friedlander, S. Godwin, C. Musburger, M. Timmers, R. Tsuda, P. Vroom, E. Flint, E. Lundblad, J. Weiss, P. Ayotte, E. Sala, S.A. Sandin, S. McTee, T. Wass, D. Siciliano, R. Brainard, D. Obura, S. Ferguson and B. Mundy 2008. U.S. coral reefs in the Line and Phoenix Islands, central Pacific Ocean: history, geology, oceanography, and biology. In: B. Riegl and R.E. Dodge (eds) Coral Reefs of the USA, Springer, pp. 595-642. {PARC-0014}",2008,"Maragos, James; Miller, Joyce; Gove, Jamison; De Martini, Edward; Friedlander, Alan M.; Godwin, Scott; Musburger, Craig; Timmers, Molly; Tsuda, Roy; Vroom, Peter; Flint, Elizabeth; Lundblad, Emily; Weiss, Jonathan; Ayotte, Paula; Sala, Enric; Sandin, Stuart; McTee, Sarah; Wass, Todd; Siciliano, Daria; Brainard, Russell; Obura, David; Ferguson, Scott; Mundy, Bruce",Coral Reefs of the USA,NA,,,main study site,Library info not verified,yes
"Movement Patterns, Foraging Ecology And Digestive Physiology Of Blacktip Reef Sharks, Carcharhinus Melanopterus, At Palmyra Atoll: A Predator Dominated Ecosystem",DISSERTATION,PhD Thesis,ASSIGNED,PARC-0015,UPLOADED,https://nsgl.gso.uri.edu/hawau/hawauy08003.pdf,-,"Papastamatiou, Y.P. 2008. Movement patterns, foraging ecology and digestive physiology of blacktip reef sharks, Carcharhinus melanopterus, at Palmyra Atoll: a predator dominated ecosystem. Ph.D. Dissertation, University of Hawaii at Manoa, 190pp. {PARC-0015}",2008,"Papastamatiou, Yannis P",Thesis,NA,,,main study site,-,yes
Baselines And Degradation Of Coral Reefs In The Northern Line Islands,PUBLISHED,paper,ASSIGNED,PARC-0016,UPLOADED,https://dx.plos.org/10.1371/journal.pone.0001548,https://dx.plos.org/10.1371/journal.pone.0001548,"Sandin, S.A., J.E. Smith, E.E. DeMartini, E.A. Dinsdale, S.D. Donner, A.M. Friedlander, T. Konotchick, M. Malay, J.E. Maragos, D. Obura, O. Pantos, G. Paulay, M. Richie, F. Rohwer, R.E. Schroeder, S. Walsh, J.B.C. Jackson, N. Knowlton and E. Sala 2008. Baselines and degradation of coral reefs in the northern Line Islands. PLoS ONE 3(2): e1548 (11 pgs). {PARC-0016}",2008,"Sandin, Stuart A.; Smith, Jennifer E.; DeMartini, Edward E.; Dinsdale, Elizabeth A.; Donner, Simon D.; Friedlander, Alan M.; Konotchick, Talina; Malay, Machel; Maragos, James E.; Obura, David; Pantos, Olga; Paulay, Gustav; Richie, Morgan; Rohwer, Forest; Schroeder, Robert E.; Walsh, Sheila; Jackson, Jeremy B. C.; Knowlton, Nancy; Sala, Enric",PLoS ONE,10.1371/journal.pone.0001548,,,reference point,Supplemental data links given on web page and in pdf,yes
"Coral Disease At Palmyra Atoll, A Remote Reef System In The Central Pacific",PUBLISHED,paper,ASSIGNED,PARC-0017,UPLOADED,https://link.springer.com/article/10.1007%2Fs00338-007-0314-y,-,"Williams, G.J., G.S. Aeby and S.K. Davy 2008. Coral disease at Palmyra Atoll, a remote reef system in the Central Pacific. Coral Reefs. 27:207. {PARC-0017}",2008,"Williams, G. J.; Aeby, G. S.; Davy, S. K.",Coral Reefs,10.1007/s00338-007-0314-y,,,main study site,-,yes
Characterization Of The Coral Communities At Palmyra Atoll In The Remote Central Pacific Ocean,PUBLISHED,paper,ASSIGNED,PARC-0018,UPLOADED,https://repository.si.edu/handle/10088/6797,-,"Williams, G.J., J.E. Maragos and S.K. Davy 2008. Characterization of the coral communities at Palmyra Atoll in the remote Central Pacific Ocean. Atoll Research Bulletin. 557:1-30. {PARC-0018}",2008,"Williams, Gareth J.; Maragos, James E.; Davy, Simon K.",Atoll Research Bulletin,10.5479/si.00775630.557.1,,,main study site,-,yes
Phase Shift From A Coral To A Corallimorph-Dominated Reef Associated With A Shipwreck On Palmyra Atoll,PUBLISHED,,ASSIGNED,PARC-0019,UPLOADED,https://doi.org/10.1371/journal.pone.0002989,-,"Work, T.M., G.S. Aeby and J.E. Maragos 2008. Phase shift from a coral to a corallimorph-dominated reef associated with a shipwreck on Palmyra Atoll. PLoS ONE 3(8):e2989 (5 pgs). {PARC-0019}",2008,"Work, Thierry M.; Aeby, Greta S.; Maragos, James E.",PLoS ONE,10.1371/journal.pone.0002989,,,,-,
"Polydactyly In The Central Pacific Gecko, Lepidodactylus Sp. (Squamata: Gekkonidae)",PUBLISHED,,ASSIGNED,PARC-0020,UPLOADED,https://pubs.er.usgs.gov/publication/70035219,-,"Bauer, A. M., S.A. Hathaway and R.N. Fisher 2009. Polydactyly in the Central Pacific Gecko, Lepidodactylus sp. (Squamata: Gekkonidae). Herpetology Notes 2: 243-246. {PARC-0020}",2009,"Bauer, Aaron M; Hathaway, Stacie A; Fisher, Robert N",Herpetology Notes,NA,,,,"Manuscript describing discovery of a single polydactic specimen. Geographic sampling, species information, and date of discovery are included in the paper",
Species Identification And Measurement Of Activity In Odontocete Species Of Palmyra Atoll By Acoustic Monitoring,PUBLISHED,,ASSIGNED,PARC-0021,UPLOADED,http://asa.scitation.org/doi/10.1121/1.2932958,-,"Baumann-Pickering, S. 2009. Species identification and measurement of activity in Odontocete species of Palmyra Atoll by acoustic monitoring. Doctor rerum naturalium. (equivalent to Ph.D.) Dissertation. Eberhard-Karls Universitat, Tubingen, Germany. 100 pgs. {PARC-0021}",2008,"Baumann, Simone; Hildebrand, John A.; Wiggins, Sean M.; Schnitzler, Hans‐Ulrich",The Journal of the Acoustical Society of America,10.1121/1.2932958,,,,Doctor rerum naturalium. (equivalent to Ph.D.) Dissertation. | Some supporting information available,
Line Islands,PUBLISHED,,ASSIGNED,PARC-0023,UPLOADED,http://www.jstor.org/stable/10.1525/j.ctt1pn90r.131,-,"Charles, C. and S. A. Sandin 2009. Line Islands. In: R.G. Gillespie and D.A. Clague (Eds) The Encyclopedia of Islands, University of California Press, pp. 553-558. {PARC-0023}",2009,"Charles, Christopher; Sandin, Stuart",Encyclopedia of Islands,NA,,,,Encyclopedia entry,
Distributions Of Stress-Resistant Coral Symbionts Match Environmental Patterns At Local But Not Regional Scales,PUBLISHED,,ASSIGNED,PARC-0026,UPLOADED,https://doi.org/ 10.3354/meps07871,-,"Oliver, T.A., S.R. Palumbi 2009. Distributions of stress-resistant coral symbionts match environmental patterns at local but not regional scales. Marine Ecology Progress Series 378:93-103. {PARC-0026}",2009,"Oliver, Ta; Palumbi, Sr",Marine Ecology Progress Series,10.3354/meps07871,,,,-,
Cascading Behavioral Effects Of Fishing On Coral Reefs,DISSERTATION,PhD Thesis,ASSIGNED,PARC-0027,UPLOADED,https://search.proquest.com/docview/304855131?accountid=14522,-,"Madin, E.M.P. 2009. Cascading behavioral effects of fishing on coral reefs. Ph.D. Dissertation. University of California, Santa Barbara. 109 pp. {PARC-0027}",2009,"Madin, Elizabeth McHenry Potter",Thesis,NA,,,,-,
"Distribution, Abundance, And Microhabitat Characterization Of Small Juvenile Corals At Palmyra Atoll",PUBLISHED,,ASSIGNED,PARC-0030,UPLOADED,http://www.int-res.com/abstracts/meps/v376/p133-142/,-,"Roth, M.S. and N. Knowlton 2009. Distribution, abundance, and microhabitat characterization of small juvenile corals at Palmyra Atoll. Marine Ecology Progress Series 376:133-142. {PARC-0030}",2009,"Roth, Ms; Knowlton, N",Marine Ecology Progress Series,10.3354/meps07787,,,,-,
Stomach Nematodes (Mastophorus Muris) In Rats (Rattus Rattus) Are Associated With Coconut (Cocos Nucifera) Habitat At Palmyra Atoll,PUBLISHED,,ASSIGNED,PARC-0031,UPLOADED,https://doi.org/10.1645/GE-2180.1,-,"Lafferty, K.D., S.A. Hathaway, A.S. Wegmann, F.S. Shipley, A.R. Backlin, J. Helm and R.N. Fisher 2010. Stomach nematodes (Mastophorus muris) in rats (Rattus rattus) are associated with coconut (Cocos nucifera) habitat at Palmyra Atoll. Journal of Parasitology 96(1):16-20. {PARC-0031}",2010,"Lafferty, Kevin D.; Hathaway, Stacie A.; Wegmann, Alex S.; Shipley, Frank S.; Backlin, Adam R.; Helm, Joel; Fisher, Robert N.",Journal of Parasitology,10.1645/GE-2180.1,,,,"Cannot find record of this paper on G. Scholar, no pdf uploaded",
"Persistence Of Corals In Marginal Habitats: The Role Of The Environment, And Symbiont Diversity And Ecophysiology",DISSERTATION,PhD Thesis,ASSIGNED,PARC-0035,UPLOADED,http://researcharchive.vuw.ac.nz/handle/10063/1210,-,"Wicks, L.C. 2010. Persistence of corals in marginal habitats: the role of the environment, and symbiont diversity and ecophysiology. Ph.D. Dissertation, Victoria University of Wellington, 220 pp. {PARC-0035}",2010,"Wicks, Laura Caroline",Thesis,NA,,,,-,
Resource Partitioning By Species But Not Sex In Sympatric Boobies In The Central Pacific Ocean,PUBLISHED,,ASSIGNED,PARC-0037,UPLOADED,https://doi.org/10.3354/meps08478,,"Young, H.S., S.A. Shaffer, D.J. McCauley, D.G. Foley, R. Dirzo and B.A. Block 2010. Resource partitioning by species but not sex in sympatric boobies in the Central Pacific Ocean. Marine Ecology Progress Series 403:291-301. {PARC-0037}",2010,"Young, Hs; Shaffer, Sa; McCauley, Dj; Foley, Dg; Dirzo, R; Block, Ba",Marine Ecology Progress Series,10.3354/meps08478,,,,Some supporting information available,
Plants Cause Ecosystem Nutrient Depletion Via The Interruption Of Bird-Derived Spatial Subsidies,PUBLISHED,,ASSIGNED,PARC-0038,UPLOADED,http://www.pnas.org/cgi/doi/10.1073/pnas.0914169107,-,"Young, H.S., D.J. McCauley, R.B. Dunbar and R. Dirzo 2010. Plants cause ecosystem nutrient depletion via the interruption of bird-derived spatial subsidies. Proceedings of the National Academy of Sciences 107:2072-2077. {PARC-0038}",2010,"Young, Hillary S.; McCauley, Douglas J.; Dunbar, Robert B.; Dirzo, Rodolfo",Proceedings of the National Academy of Sciences,10.1073/pnas.0914169107,,,,-,
"Effect Of Depth On Sponge Assemblage Structure At Palmyra Atoll, Central Pacific",PUBLISHED,,ASSIGNED,PARC-0040,UPLOADED,http://benthamopen.com/ABSTRACT/TOMBJ-4-26,-,"Knapp, I.S.S. and J.J. Bell 2010. Effect of depth on sponge assemblage structure at Palmyra Atoll, Central Pacific. The Open Marine Biology Journal 4:26-30 {PARC-0040}",2010,"S. Knapp, Ingrid S",The Open Marine Biology Journal,10.2174/1874450801004010026,,,,-,
Effects Of Seabirds On Island Consumers,PUBLISHED,,ASSIGNED,PARC-0042,UPLOADED,https://doi.org10.1093/acprof:osobl/9780199735693.003.0007,-,"Kolb, G., H.S. Young, H. Jones, T. Fukami, J.L. Orrock, D. Towns and L. Yang 2011. Effects of seabirds on island consumers. In: C.P. Mulder, W.B. Anderson, D. Towns and P. Bellingham (Eds) Seabird Islands: Ecology, Invasion and Restoration. Oxford University Press. {PARC-0042}",2011,"Kolb, G.; Young, H.S.; Jones, H.; Fukami, T.; Orrock, J.L.; Towns, D.; Yang, L.","Seabird islands: ecology, invasion, and restoration",NA,,,,-,
