TITLE,PUB_STATUS,PUB_DATE,PARC_STATUS,PARC_NUMBER,LIB_STATUS,PUB_LOCATION,DATA_LINK,COMMENTS
Phase shift from a coral to a corallimorph-dominated reef associated with a shipwreck on Palmyra Atoll,PUBLISHED,8/20/2008,ASSIGNED,PARC-0019,UPLOADED,https://doi.org/10.1371/journal.pone.0002989,-,-
"Polydactyly in the central pacific gecko, Lepidodactylus sp. (Squamata: Gekkonidae)",PUBLISHED,12/24/2009,ASSIGNED,PARC-0020,UPLOADED,https://pubs.er.usgs.gov/publication/70035219,-,"Manuscript describing discovery of a single polydactic specimen. Geographic sampling, species information, and date of discovery are included in the paper"
Species Identification and Measurement of Activity in Odontocete Species of Palmyra Atoll by Acoustic Monitoring,PUBLISHED,6/30/2009,ASSIGNED,PARC-0021,UPLOADED,http://asa.scitation.org/doi/10.1121/1.2932958,-, Doctor rerum naturalium. (equivalent to Ph.D.) Dissertation. | Some supporting information available
"Behavior of melon-headed whales, Peponocephala electra, near oceanic islands",PUBLISHED,12/3/2008,ASSIGNED,PARC-0022,UPLOADED,http://doi.wiley.com/10.1111/j.1748-7692.2009.00281.x,-,-
Line Islands,PUBLISHED,-,ASSIGNED,PARC-0023,UPLOADED,http://www.jstor.org/stable/10.1525/j.ctt1pn90r.131,-,Encyclopedia entry
Application of the littoral cell concept to managing a protected atoll: Palmyra Atoll National Wildlife Reserve,PUBLISHED,10/27/2019,ASSIGNED,PARC-0024,UPLOADED,https://doi.org/doi:10.1016/j.ocecoaman.2009.10.007,-,No data availability reported
Shoreline changes and natural sediment redistribution at Palmyra Atoll (Equatorial Pacific Ocean): 1874-presen,PUBLISHED,4/17/2008,ASSIGNED,PARC-0025,UPLOADED,https://doi.org/10.2112/08-1007.1,-,Library info not verified
Distributions of stress-resistant coral symbionts match environmental patterns at local but not regional scales,PUBLISHED,3/12/2009,ASSIGNED,PARC-0026,UPLOADED,https://doi.org/ 10.3354/meps07871,-,-
Cascading behavioral effects of fishing on coral reefs,DISSERTATION,9/4/2009,ASSIGNED,PARC-0027,UPLOADED,https://search.proquest.com/docview/304855131?accountid=14522,-,-
"Distribution, size frequency, and sex ratios of blacktip reef sharks Carcharhinus melanopterus at Palmyra Atoll: a predator-dominated ecosystem",PUBLISHED,4/23/2009,ASSIGNED,PARC-0028,UPLOADED,http://doi.org/10.1111/j.1095-8649.2009.02329.x,-,-
Scale-dependent effects of habitat on movements and path structure of reef sharks at a predator-dominated ecosystem,PUBLISHED,7/23/2008,ASSIGNED,PARC-0029,UPLOADED,https://www.ncbi.nlm.nih.gov/pubmed/19449694,https://www.ncbi.nlm.nih.gov/pubmed/19449694,Library info not verified
"Distribution, abundance, and microhabitat characterization of small juvenile corals at Palmyra Atoll",PUBLISHED,2/11/2009,ASSIGNED,PARC-0030,UPLOADED,http://www.int-res.com/abstracts/meps/v376/p133-142/,-,-
Stomach nematodes (Mastophorus muris) in rats (Rattus rattus) are associated with coconut (Cocos nucifera) habitat at Palmyra Atoll,PUBLISHED,9/17/2009,ASSIGNED,PARC-0031,UPLOADED,https://doi.org/10.1645/GE-2180.1,-,"Cannot find record of this paper on G. Scholar, no pdf uploaded"
"An observation of mating in free-ranging blacktip reef sharks, Carcharhinus melanopterus",PUBLISHED,4/10/2009,ASSIGNED,PARC-0032,UPLOADED,http://www.bioone.org/doi/10.2984/64.2.349,-,No relevant supplementary data (observation report)
Long term movement patterns and trophic ecology of blacktip reef sharks (Carcharhinus melanopterus) at Palmyra Atoll,PUBLISHED,2/9/2010,ASSIGNED,PARC-0033,UPLOADED,http://dx.doi.org/10.1016/j.jembe.2010.02.009,http://dx.doi.org/10.1016/j.jembe.2010.02.009,Some supporting information noted as available
"Chapter 5: Prey release, trophic cascades, and phase shifts in tropical nearshore marine ecosystems",PUBLISHED,-,ASSIGNED,PARC-0034,UPLOADED,"https://books.google.com/books?hl=en&lr=&id=tjOT8KJ6mF8C&oi=fnd&pg=PA71&dq=.+Chapter+5:+Prey+release,+trophic+cascades,+and+phase+shifts+in+tropical+nearshore+marine+ecosystems&ots=swvDdvWeEE&sig=-zK9gskUjOnPjXVb42NWvmJOgJs#v=onepage&q=Chapter%205%3A%20Prey%20release%2C%20trophic%20cascades%2C%20and%20phase%20shifts%20in%20tropical%20nearshore%20marine%20ecosystems&f=false",-,"Book: Trophic Cascades: Predators, Prey, and the Changing Dynamics of Nature"
"Persistence of corals in marginal habitats: the role of the environment, and symbiont diversity and ecophysiology",DISSERTATION,-,ASSIGNED,PARC-0035,UPLOADED,http://researcharchive.vuw.ac.nz/handle/10063/1210,-,-
Cascading effects of a plant community shift across ecosystem boundaries,DISSERTATION,May-10,ASSIGNED,PARC-0036,UPLOADED,https://purl.stanford.edu/vw007np9389,-,-
Resource partitioning by species but not sex in sympatric boobies in the Central Pacific Ocean,PUBLISHED,3/22/2010,ASSIGNED,PARC-0037,UPLOADED,https://doi.org/10.3354/meps08478,,Some supporting information available
Plants cause ecosystem nutrient depletion via the interruption of bird-derived spatial subsidies,PUBLISHED,2/2/2010,ASSIGNED,PARC-0038,UPLOADED,http://www.pnas.org/cgi/doi/10.1073/pnas.0914169107,-,-
Echolocation signals of a mesoplodont beaked whale at Palmyra Atoll,PUBLISHED,3/30/2010,ASSIGNED,PARC-0039,UPLOADED,https://doi.org/10.1121/1.3409478,-,-
"Effect of depth on sponge assemblage structure at Palmyra Atoll, Central Pacific",PUBLISHED,1/5/2010,ASSIGNED,PARC-0040,UPLOADED,http://benthamopen.com/ABSTRACT/TOMBJ-4-26,-,-
"Seabird Islands:  Ecology, Invasion and Restoration",-,-,ASSIGNED,PARC-0041,UPLOADED,-,-,Some supporting information available | PARC number originally listed without the 0
Effects of seabirds on island consumers,PUBLISHED,-,ASSIGNED,PARC-0042,UPLOADED,https://doi.org10.1093/acprof:osobl/9780199735693.003.0007,-,-
Impacts of seabirds on plant and soil properties,PUBLISHED,-,ASSIGNED,PARC-0043,UPLOADED,https://doi.org/10.1093/acprof:osobl/9780199735693.003.0005,-,Chapter from a book
Modeling patterns of coral bleaching at a remote Central Pacific atoll,PUBLISHED,6/11/2010,ASSIGNED,PARC-0044,UPLOADED,http://dx.doi.org/10.1016/j.marpolbul.2010.05.009,-,-
"Abundance, diversity, and activity of microbial assemblages associated with coral reef fish guts and feces",PUBLISHED,3/9/2010,ASSIGNED,PARC-0045,UPLOADED,https://academic.oup.com/femsec/article-lookup/doi/10.1111/j.1574-6941.2010.00879.x,http://www.dna-surveillance.auckland.ac.nz/,"PARC number originally listed without the 0 | Previous title: Coral reef fish feces and gut associated microbial assemblages | All 16S rRNA gene sequences derived from this study
were submitted to the GenBank database. Accession numbers are FJ653927–FJ653974 for sequences derived from
A. nigricans, FJ653975–FJ654018 for C. sordidus, FJ654019–
FJ654062 for L. bohar, and FJ654063–FJ654065 for milkfish."
Spatial patterns of the structure of reef fish assemblages at a pristine atoll in the central Pacific,PUBLISHED,7/14/2010,ASSIGNED,PARC-0046,UPLOADED,https://doi.org/10.3354/meps08634,-,Library info not verified
Field evidence for pervasive indirect effects of fishing on prey foraging behavior,PUBLISHED,4/22/2010,ASSIGNED,PARC-0047,UPLOADED,https://www.ncbi.nlm.nih.gov/pubmed/21302828,https://www.ncbi.nlm.nih.gov/pubmed/21302828 ,Some supplementary information available
Uranium-series dating and growth characteristics of the deep-sea scleractinian coral: Enallopsammia rostrata from the Equatorial Pacific,PUBLISHED,1/20/2010,ASSIGNED,PARC-0048,UPLOADED,http://dx.doi.org/10.1016/j.gca.2010.01.017,-,Some supporting information available
Late 20th century warming and freshening in the central tropical Pacific,PUBLISHED,11/12/2009,ASSIGNED,PARC-0049,UPLOADED,https://doi.org/doi:10.1029/2009GLO40270,-,-
Acute effects of removing large fish from a near-pristine coral reef,PUBLISHED,8/11/2010,ASSIGNED,PARC-0050,UPLOADED,http://link.springer.com/10.1007/s00227-010-1533-2,-,Supplemental data not found
Niche partitioning among and within sympatric tropical seabirds revealed by stable isotope analysis,PUBLISHED,10/14/2010,ASSIGNED,PARC-0051,UPLOADED,https://doi.org/10.3354/meps08756,-,-
"The coconut palm, Cocos nucifera, impacts forest composition and soil characteristics at Palmya Atoll, Central Pacific Ocean",PUBLISHED,8/13/2010,ASSIGNED,PARC-0052,UPLOADED,https://doi.org/ 10.1111/j.1654-1103.2010.01219.x,https://doi.org/ 10.1111/j.1654-1103.2010.01219.x,Library info not verified
Human impacts on the species-area relationship in reef fish assemblages,PUBLISHED,5/30/2007,ASSIGNED,PARC-0053,UPLOADED,https://doi.org/10.1111/j.1461-0248.2007.01076.x,http://www.blackwell-synergy.com/doi/full/10.1111/,Some supporting information available
Biosecurity Plan for Palmyra Atoll,PUBLISHED,-,ASSIGNED,PARC-0054,UPLOADED,https://pubs.usgs.gov/of/2010/1097/,-,-
Coral disease and the environment in the Pacific Ocean,DISSERTATION,1/1/2010,ASSIGNED,PARC-0055,UPLOADED,http://researcharchive.vuw.ac.nz/handle/10063/1564,-,"Published 2010, no exact date | Contains a pdf of ""Williams, Gareth J., et al. “Modeling Patterns of Coral Bleaching at a Remote Central Pacific Atoll.” Marine Pollution Bulletin, vol. 60, no. 9, Sept. 2010, pp. 1467–76. DOI.org (Crossref), doi:10.1016/j.marpolbul.2010.05.009."", ""Williams, Gareth J., et al. “Predictive Modeling of Coral Disease Distribution within a Reef System.” PLoS One, vol. 5, no. 2, Feb. 2010, p. e9264, doi:10.1371/journal.pone.0009264. 20174663."", ""Williams, Gareth J., et al. “Gross and Microscopic Morphology of Lesions in Cnidaria from Palmyra Atoll, Central Pacific.” Journal of Invertebrate Pathology, vol. 106, no. 2, Feb. 2011, pp. 165–73. DOI.org (Crossref), doi:10.1016/j.jip.2010.08.002."", ""Aeby, Greta S., et al. “Growth Anomalies on the Coral Genera Acropora and Porites Are Strongly Associated with Host Density and Human Population Size across the Indo-Pacific.” PLoS ONE, edited by Christian Voolstra, vol. 6, no. 2, Feb. 2011, p. e16887. DOI.org (Crossref), doi:10.1371/journal.pone.0016887."", ""Williams, G. J., et al. “Coral Disease at Palmyra Atoll, a Remote Reef System in the Central Pacific.” Coral Reefs, vol. 27, no. 1, Mar. 2008, pp. 207–207. DOI.org (Crossref), doi:10.1007/s00338-007-0314-y."""
"The atmospheric lead record preserved in lagoon sediments at a remote equatorial Pacific location: Palmyra Atoll, northern Line Islands",PUBLISHED,11/20/2010,ASSIGNED,PARC-0056,UPLOADED,http://dx.doi.org/10.1016/j.marpolbul.2010.11.004,-,Management report
"Near-surface mixing and pronounced deep-water stratification in a compartmentalized, human-disturbed atoll lagoon system",PUBLISHED,12/14/2010,ASSIGNED,PARC-0057,UPLOADED,https://doi.org/10.1007/s00338-010-0701-7,-,PARC number originally listed without the 0
Terrestrial forest management plan for Palmyra Atoll,PUBLISHED,-,ASSIGNED,PARC-0058,UPLOADED,-,-,Library info not verified
Pacific Coral Reefs: An Introduction,PUBLISHED,-,ASSIGNED,PARC-0059,UPLOADED,https://link.springer.com/referencework/10.1007%2F978-90-481-2639-2,-,Book
"Spatial and temporal patterns of scleractinian coral, soft coral and zoanthid disease on a remote near-pristine coral reef",PUBLISHED,4/6/2011,ASSIGNED,PARC-0060,UPLOADED,https://doi.org/10.2112/08-1007.1,-,Library info not verified
"Gross and microscopic morphology of lesions in Cnidaria from Palmyra Atoll, Central Pacific",PUBLISHED,8/13/2010,ASSIGNED,PARC-0061,UPLOADED,http://dx.doi.org/10.1016/j.jip.2010.08.002,-,-
Records of non-indigenous marine species at Palmyra Atoll in the U.S. Line Islands,PUBLISHED,12/21/2010,ASSIGNED,PARC-0062,UPLOADED,https://doi.org/10.1017/S1755267211000078,-,Library info not verified
Growth Anomalies on the Coral Genera Acropora and Porites Are Strongly Associated with Host Density and Human Population Size across the Indo-Pacific,PUBLISHED,2/18/2011,ASSIGNED,PARC-0063,UPLOADED,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0016887,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0016887,Data collected by authors and sourced from outside institutions/groups - supporting information accessible via plosone link
Radiocarbon and stable isotopes in Palmyra corals during the past century,PUBLISHED,3/1/2012,ASSIGNED,PARC-0064,UPLOADED,http://dx.doi.org/10.1016/j.gca.2010.11.028,-,Library info not verified
Decadal timescale shift in the 14C record of a central equatorial Pacific coral,PUBLISHED,7/18/2016,ASSIGNED,PARC-0065,UPLOADED,https://www.cambridge.org/core/journals/radiocarbon/article/decadal-timescale-shift-in-the-14c-record-of-a-central-equatorial-pacific-coral/731955FE06B5399EBE85E44652260162,-,-
Extreme longevity in proteinaceous deep-sea corals,PUBLISHED,3/31/2009,ASSIGNED,PARC-0066,UPLOADED,http://www.pnas.orgcgidoi10.1073pnas.0810875106%20roa/,www.pnas.org/cgi/content/full/ 0810875106/DCSupplemental,Some information available at supplementary link
Effects of diagenesis on paleoclimate: Reconstructions from modern and young fossil corals,PUBLISHED,8/25/2011,ASSIGNED,PARC-0067,UPLOADED,https://doi.org/10.1016/j.gca.2011.08.026,-,-
Differential responses to guano fertilization among tropical tree species with varying functional traits,PUBLISHED,12/6/2010,ASSIGNED,PARC-0068,UPLOADED,http://doi.org/10.3732/ajb.1000159 ,-,-
"Examination of algal diversity and benthic community structure at Palmyra Atoll, U.S. Line Islands",PUBLISHED,-,ASSIGNED,PARC-0069,UPLOADED,https://www.researchgate.net/publication/250306623,-,"Unconfirmed link, needs a link in Zotero as well"
"Arthropod surveys on Palmyra Atoll, Line Islands, and insights into the decline of the natirve tree Pisonia grandis (Nyctaginaceae)",PUBLISHED,1/7/2007,ASSIGNED,PARC-0070,UPLOADED,http://www.bioone.org/doi/abs/10.2984/1534-6188%282007%2961%5B485%3AASOPAL%5D2.0.CO%3B2,-,Need link and pdf
Coral records of central tropical Pacific radiocarbon variability during the last millennium,PUBLISHED,6/7/2010,ASSIGNED,PARC-0071,UPLOADED,https://doi.org/doi:10.1029/2009PA001788,-,-
"Outbreak of Acropora white syndrome following a mild bleaching event at Palmyra Atoll, Northern Line Islands, Central Pacific",PUBLISHED,4/30/2011,ASSIGNED,PARC-0072,UPLOADED,https://doi.org/10.1007/s00338-011-0762-2,-,Some supporting information available
Proximate environmental drivers of coral communities at Palmyra Atoll: establishing baselines prior to removing a WWII military causeway,PUBLISHED,5/31/2011,ASSIGNED,PARC-0073,UPLOADED,http://dx.doi.org/10.1016/j.marpolbul.2011.05.002,-,Library info not verified
Fishing indirectly structures macroalgal assemblages by altering herbivore behavior,PUBLISHED,10/20/2010,ASSIGNED,PARC-0074,UPLOADED,https://doi.org/10.1086/657039,-,-
"Predators, facilitators, or both?  Re-evaluating an apparent predator-prey interaction",PUBLISHED,6/9/2011,ASSIGNED,PARC-0075,UPLOADED,https://doi.org/10.3354/meps09162,-,-
Evaluating the performance of methods for estimating the abundance of rapidly declining coastal shark populations,PUBLISHED,9/9/2011,ASSIGNED,PARC-0076,UPLOADED,http://doi.wiley.com/10.1890/11-1059.1,http://doi.wiley.com/10.1890/11-1059.1,Code and methods available
Species-specific consequences of ocean acidification for the calcareous tropical green algae Halimeda,PUBLISHED,10/28/2011,ASSIGNED,PARC-0077,UPLOADED,https://doi.org/10.3354/meps09309,-,Library info not verified
Analyses of DNA obtained from shells and brine-preserved meat: giant clams (Tridacna maxima) from the central Pacific Ocean,PUBLISHED,1/25/2012,ASSIGNED,PARC-0078,UPLOADED,http://www.int-res.com/abstracts/meps/v453/p297-301/,-,No data availability reported
High-frequency dynamics of ocean pH: a multi-ecosystem comparison,PUBLISHED,12/19/2011,ASSIGNED,PARC-0079,UPLOADED,https://doi.org/10.1371/journal.pone.0028983,-,-
Predictive modeling of coral disease distribution within a reef system,PUBLISHED,2/17/2010,ASSIGNED,PARC-0080,UPLOADED,https://doi.org/doi:10.1371/journal.pone.0009264,-,-
Assessing the effects of large mobile predators on ecosystem connectivity,PUBLISHED,4/23/2012,ASSIGNED,PARC-0081,UPLOADED,http://doi.wiley.com/10.1890/11-1653.1,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/11-1653.1,-
Night shift: expansion of temporal niche use following reductions in predator density,PUBLISHED,6/13/2012,ASSIGNED,PARC-0082,UPLOADED,https://doi.org/doi:10.1371/journal.pone.0038871 ,https://doi.org/doi:10.1371/journal.pone.0038871 ,Some supporting information available
"Area restricted searching in manta rays, and their response to spatial scale in lagoon habitats",PUBLISHED,3/13/2012,ASSIGNED,PARC-0083,UPLOADED,http://www.int-res.com/abstracts/meps/v456/p233-244/,-,Data held in other papers or unpublished
Diel variability in seawater pH relates to calcification and benthic community structure on coral reefs,PUBLISHED,8/28/2012,ASSIGNED,PARC-0084,UPLOADED,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0043843#s5,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0043843#s5,PARC number originally listed without the 0
The Palmyra Atoll Research Consortium,PUBLISHED,-,ASSIGNED,PARC-0085,UPLOADED,-,-,Dryad repository location listed | PARC number originally listed without the 0
Effects of spatial subsidies and habitat structure on the foraging ecology and size of geckos,PUBLISHED,8/10/2012,ASSIGNED,PARC-0086,UPLOADED,https://doi.org/doi:10.1371/journal.pone.0041364,https://doi.org/doi:10.1371/journal.pone.0041364,"Some data info at paper source link, raw data on AMtK GitHub"
Restriction of sponges to an atoll lagoon as a result of reduced environmental quality,PUBLISHED,11/24/2012,ASSIGNED,PARC-0087,UPLOADED,http://dx.doi.org/10.1016/j.marpolbul.2012.08.017,-,"Library info not verified | Previous title: Environmental drivers of sponge diversity, cover and assemblage composition in the lagoons at Palmyra Atoll, Central Pacific"
Ecology and Conservation of Marine Turtles in a Foraging Ground in the Central Pacific,PUBLISHED,-,ASSIGNED,PARC-0088,UPLOADED,http://www.bioone.org/doi/full/10.2744/CCB-1014.1,-,-
Using stable isotope analyses to assess the foraging habits of Palmyra Atoll green turtles (Chelonia mydas),DISSERTATION,-,ASSIGNED,PARC-0089,UPLOADED,-,-,Some supporting information available
Stable isotopes in turtle epibionts as a tool to understand green turtle (Chelonia mydas) regional movement patterns,-,-,ASSIGNED,PARC-0090,UPLOADED,-,-,Some supporting information available
The roles of productivity and ecosystem size in determining food-chain length in tropical terrestrial ecosystems,PUBLISHED,10/22/2012,ASSIGNED,PARC-0091,UPLOADED,https://pubmed.ncbi.nlm.nih.gov/23687895/,https://pubmed.ncbi.nlm.nih.gov/23687895/,"Does not appear to be the completed version, some comments are visible | MSc Dissertation"
Consumer preference for seeds and seedlings of rare species impacts tree diversity at multiple scales,PUBLISHED,11/16/2012,ASSIGNED,PARC-0092,UPLOADED,https://link.springer.com/article/10.1007%2Fs00442-012-2542-2#SecESM1,https://link.springer.com/article/10.1007%2Fs00442-012-2542-2#SecESM1,-
