title,pub_status,pub_date,parc_status,parc_number,lib_status,pub_location,data_link,comments,parc_ref,publication_year,author,publication_title,doi,url,date,journal_abbreviation
Factors affecting coral recruitment and calcium carbonate accretion rates on a Central Pacific coral reef,-,-,UNLISTED,-,INCOMPLETE,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA
Field and modeling insights into carbon cycling in coastal marine ecosystems: understanding natural variability and preparing for the future,-,-,UNLISTED,-,INCOMPLETE,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Global assessment of the status of coral reef herbivorous fishes: evidence from fishing effects,-,-,UNLISTED,-,INCOMPLETE,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High frequency temperature variability reduces the risk of coral bleaching,-,-,UNLISTED,-,INCOMPLETE,https://doi.org/doi:10.1038/s41467-018-04074-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Impacts of local and global stressors on benthic communities at Palmyra Atoll: investigating response to invasion and bleaching at multiple ecological scales,-,-,UNLISTED,-,INCOMPLETE,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Invasion mechanisms of the corallimorph, Rhodactis howesii, at Palmyra Atoll",-,-,UNLISTED,-,INCOMPLETE,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA
Invasive species removal and coral transplantation transform benthic community structure at a restoration site on Palmyra Atoll,-,-,UNLISTED,-,INCOMPLETE,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA
Limitations to tree seedling recruitment at Palmyra Atoll,-,-,UNLISTED,-,INCOMPLETE,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Physical oceanography in coral reef environments: wave and mean flow dynamics at small and large scales, and resulting ecological implications",-,-,UNLISTED,-,INCOMPLETE,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prey release, trophic cascades, and phase shifts in tropical nearshore ecosystems",PUBLISHED,-,UNLISTED,-,UPLOADED,"https://books.google.com/books?hl=en&lr=&id=tjOT8KJ6mF8C&oi=fnd&pg=PA71&dq=.+Chapter+5:+Prey+release,+trophic+cascades,+and+phase+shifts+in+tropical+nearshore+marine+ecosystems&ots=swvDdvWeEE&sig=-zK9gskUjOnPjXVb42NWvmJOgJs#v=onepage&q=Chapter%205%3A%20Prey%20release%2C%20trophic%20cascades%2C%20and%20phase%20shifts%20in%20tropical%20nearshore%20marine%20ecosystems&f=false",-,Book,NA,2010,"Sandin, Stuart A; Walsh, Sheila M; Jackson, Jeremy BC","Trophic Cascades: predators, prey, and the changing dynamics of nature",NA,"https://books.google.com/books?hl=en&lr=&id=tjOT8KJ6mF8C&oi=fnd&pg=PA71&dq=.+Chapter+5:+Prey+release,+trophic+cascades,+and+phase+shifts+in+tropical+nearshore+marine+ecosystems&ots=swvDdvWeEE&sig=-zK9gskUjOnPjXVb42NWvmJOgJs#v=onepage&q=Chapter%205%3A%20Prey%20release%2C%20trophic%20cascades%2C%20and%20phase%20shifts%20in%20tropical%20nearshore%20marine%20ecosystems&f=false",2010,NA
Quantifying life history demographics of the Scleractinian coral genus Pocillopora at Palmyra Atoll,-,-,UNLISTED,-,INCOMPLETE,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA
Resource availability drives large differences in the fine-scale spatial pattern of parrotfish herbivory on a coral reef,-,-,UNLISTED,-,INCOMPLETE,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA
The direct and indirect effects of predators on coral reef fish assemblages,-,-,UNLISTED,-,INCOMPLETE,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA
"The ecology of sponges at Palmyra Atoll: variability, introduced species and their potential direct and indirect impacts",-,-,UNLISTED,-,INCOMPLETE,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA
The food web for the sand flats at Palmyra Atoll,-,-,UNLISTED,-,INCOMPLETE,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA
The life and death of perforate corals: micro-community structure within the skeleton,-,-,UNLISTED,-,INCOMPLETE,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA
Tracking fish and fisheries for conservation and management,-,-,UNLISTED,-,INCOMPLETE,-,NA,-,NA,NA,NA,NA,NA,NA,NA,NA
Proximity to encroaching coconut palm limits native forest water use and persistence on a Pacific atoll,PUBLISHED,01/29/2015,UNLISTED,-,INCOMPLETE,DOI: 10.1002/eco.1601,NA,not added to Zotero,NA,NA,NA,NA,NA,NA,NA,NA
The trophic ecology of reef-building corals: the influence of resource availability on coral nutrition at multiple scales,-,-,UNLISTED,0,INCOMPLETE,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA
El Niño-Southern Oscillation and tropical Pacific climate during the last millennium,PUBLISHED,5/30/2003,ASSIGNED,PARC-0001,UPLOADED,https://doi.org/10.1038/nature01779,-,-,"Cobb, K.M., C.D. Charles, H. Cheng and R.L. Edwards 2003. El Niño-Southern Oscillation and tropical Pacific climate during the last millennium. Nature 424: 271-276. {PARC-0001}",NA,NA,NA,NA,NA,NA,NA
U/Th-dating living and young fossil corals from the central tropical Pacific,PUBLISHED,3/13/2003,ASSIGNED,PARC-0002,UPLOADED,https:/doi.org/10.1016/S0012-821X(03)00138-9,-,Some supporting information available,"Cobb, K.M., C.D. Charles, H. Cheng, M. Kastnew and R.L. Edwards 2003. U/Th-dating living and young fossil corals from the central tropical Pacific. Earth and Planetary Science Letters 210(1-2): 91-103. {PARC-0002}",2003,"Cobb, Kim M.; Charles, Christopher D.; Cheng, Hai; Kastner, Miriam; Edwards, R.Lawrence",Earth and Planetary Science Letters,10.1016/S0012-821X(03)00138-9,https://linkinghub.elsevier.com/retrieve/pii/S0012821X03001389,2003-05,Earth and Planetary Science Letters
"Indirect effects of algae on coral: algae-mediated, microbe-induced coral mortality",PUBLISHED,4/26/2006,ASSIGNED,PARC-0003,UPLOADED,https://doi.org/10.1111/j.1461-0248.2006.00937.x,-,-,"Smith, J.E., M. Shaw, R.A. Edwards, D. Obura, O. Pantos, E. Sala, S.A. Sandin, S. Smriga, M. Hatay and F.L. Rohwer 2006. Indirect effects of algae on coral: algae-mediated, microbe-induced coral mortality. Ecology Letters 9:835-845. {PARC-0003}",2006,"Smith, Jennifer E.; Shaw, Morrigan; Edwards, Rob A.; Obura, David; Pantos, Olga; Sala, Enric; Sandin, Stuart A.; Smriga, Steven; Hatay, Mark; Rohwer, Forest L.",Ecology Letters,10.1111/j.1461-0248.2006.00937.x,http://doi.wiley.com/10.1111/j.1461-0248.2006.00937.x,2006-07,Ecol Letters
A divergent mtDNA lineage among Mesoplodon beaked whales: Molecular evidence for a new species in the tropical Pacific?,PUBLISHED,3/31/2007,ASSIGNED,PARC-0004,UPLOADED,http://doi.wiley.com/10.1111/j.1748-7692.2007.00143.x,-,"No clear link to data provided, some raw data held in unpublished files, others in DNA surveillance database","Dalebout, M.L., C.S. Baker, D. Steel, K.M. Robertson, S.J. Chivers, W.F. Perrin, J.G. Mead, R.V. Grace and T.D. Schofield 2007. A divergent mtDNA lineage among Mesoplodon beaked whales: Molecular evidence for a new species in the tropical Pacific? Marine Mammal Science 23: 954-966. {PARC-0004}",NA,NA,NA,NA,NA,NA,NA
High apex predator biomass on remote Pacific islands,PUBLISHED,10/10/2006,ASSIGNED,PARC-0005,UPLOADED,https://doi.org/10.1007/s00338-006-0158-x,-,-,"Stevenson C , L.S. Katz, F. Micheli, B. Block, K.W. Heiman, C. Perle, K. Weng, R. Dunbar and J. Witting 2007. High apex predator biomass on remote Pacific islands. Coral Reefs 26:47-51 {PARC-0005}",2007,"Stevenson, Charlotte; Katz, Laure S.; Micheli, Fiorenza; Block, Barbara; Heiman, Kimberly W.; Perle, Chris; Weng, Kevin; Dunbar, Robert; Witting, Jan",Coral Reefs,10.1007/s00338-006-0158-x,http://link.springer.com/10.1007/s00338-006-0158-x,2007-03-06,Coral Reefs
Patterns of sponge biodiversity and abundance across different biogeographic regions,PUBLISHED,9/16/2008,ASSIGNED,PARC-0006,UPLOADED,https://doi.org/10.1007/s00227-008-1036-6,-,-,"Bell, J.J. and J.L. Carballo 2008. Patterns of sponge biodiversity and abundance across different biogeographic regions. Marine Biology. 155:563-570. {PARC-0006}",2008,"Bell, James J.; Carballo, José Luis",Marine Biology,10.1007/s00227-008-1036-6,http://link.springer.com/10.1007/s00227-008-1036-6,2008-11,Mar Biol
"The recent carbonate sediments of Palmyra Atoll, Northern Line Islands, Central Pacific Ocean",DISSERTATION,-,ASSIGNED,PARC-0007,UPLOADED,http://hdl.handle.net/10063/1001,-,Information sheet to PARC,"Clark, O. 2008. The recent carbonate sediments of Palmyra Atoll, Northern Line Islands, Central Pacific Ocean. MSc Dissertation, Victoria University of Wellington, New Zealand. {PARC-0007}",NA,NA,NA,NA,NA,NA,NA
"Differences in fish-assemblage structure between fished and unfished atolls in the northern Line Islands, central Pacific",PUBLISHED,8/18/2008,ASSIGNED,PARC-0008,UPLOADED,https://doi.org/10.3354/meps07501,-,Previous title: Predation effects revisited: structure of shallow-reef fish assemblages along an exploitation gradient in the northern Line Islands.,"DeMartini, E.E., A.M. Friedlander, S.A. Sandin and E. Sala 2008. Predation effects revisited: structure of shallow-reef fish assemblages along an exploitation gradient in the northern Line Islands. Marine Ecology Progress Series 365: 199-215. {PARC-0008}",2008,"DeMartini, Edward E; Friedlander, Alan M; Sandin, Stuart A; Sala, Enric",Marine Ecology Progress Series,10.3354/meps07501,http://www.jstor.org/stable/24872844,2008,Mar Ecol Prog Ser
Microbial ecology of four coral atolls in the northern Line Island,PUBLISHED,2/27/2008,ASSIGNED,PARC-0009,UPLOADED,https://doi.org/10.1371/journal.pone.0001584,http://www.theseed. org/DinsdaleSupplementalMaterial/,"""All metagenomic data is held at http://scums.sdsu.edu.au, an open access website. Data are being released through SEED platform (http://www.theseed.org) and GenBank short read database. SEED accession numbers: Kingman microbial-4440037.3, Palmyra microbial-4440039.3, Tabuaeran microbial–4440279.3, Kiritimati microbial–4440041.3, Kingman viral-4440036.3, Palmyra viral-4440040.3, Tabuaeran viral4440280.3 and Kiritimati viral -4440038.3. Genbank accession numbers: Kingman microbial-28343, Palmyra microbial-28363, Tabuaeran microbial–28367, Kiritimati microbial–28347, Kingman viral-28345, Palmyra viral-28365, Tabuaeran viral-28369 and Kiritimati viral-28349. Direct access to data from these metagenomes is available at http://www.theseed.org/DinsdaleSupplementalMaterial/.""","Dinsdale, E.A., O. Pantos, S. Smriga, R.A. Edwards, F. Angly, L. Wegley, M. Hatay, D. Hall, E. Brown, M. Haynes, L. Krause, E. Sala, S.A. Sandin, R.V. Thurber, B.L. Willis, F. Azam, N. Knowlton and F. Rohwer 2008. Microbial ecology of four coral atolls in the northern Line Islands. PLoS ONE 3(2): e1584 (17pp) {PARC-0009}",NA,NA,NA,NA,NA,NA,NA
"Aspects of the biology, ecology, and recreational fishery for bonefish at Palmyra Atoll National Wildlife Refuge, with comparisons to other Pacific Islands",-,-,ASSIGNED,PARC-0010,INCOMPLETE,-,NA,NA,"Friedlander, A., J.E. Caselle, J. Beets, C. Lowe, B. Bowen, T. Ogawa, K. Kelley, T. Calitri, M. Lange and B. Anderson 2008. Aspects of the biology, ecology, and recreational fishery for bonefish at Palmyra Atoll National Wildlife Refuge, with comparisons to other Pacific Islands. In: J. Ault (Ed.) Biology and Management of the World Tarpon and Bonefish Fisheries. CRC Press LLC. Boca Raton, Florida. {PARC-0010}",2007,"Friedlander, A; Caselle, J; Beets, J; Lowe, C; Bowen, B; Ogawa, T; Kelly, K; Calitri, T; Lange, M; Anderson, B","Biology and management of the world’s tarpon and bonefish fisheries., Boca Raton, Florida, USA",NA,NA,2007,NA
"Shifting baselines, local impacts, and global change on coral reefs",PUBLISHED,2/26/2008,ASSIGNED,PARC-0011,UPLOADED,https://dx.plos.org/10.1371/journal.pbio.0060054,-,Library info not verified,"Knowlton, N. and J. Jackson 2008. Shifting baselines, local impacts, and global change on coral reefs. PLoS Biol 6(2): e54. (pgs. 215-220) {PARC-0011}",NA,NA,NA,NA,NA,NA,NA
Reef fishes have higher parasite richness at unfished Palmyra Atoll compared to fished Kiritimati Island,PUBLISHED,10/10/2008,ASSIGNED,PARC-0012,UPLOADED,https://doi.org/10.1007/s10393-008-0196-7,-,Library info not verified,"Lafferty, K.D., J.C. Shaw and A.M. Kuris 2008. Reef fishes have higher parasite richness at unfished Palmyra Atoll compared to fished Kiritimati Island. EcoHealth 5(3): 538-345. {PARC-0012}",2008,"Lafferty, Kevin D; Shaw, Jenny C; Kuris, Armand M",EcoHealth,10.1007/s10393-008-0196-7,https://www.ncbi.nlm.nih.gov/pubmed/18846315,2008-09,NA
"US Coral Reefs in the Line and Phoenix Islands, Central Pacific Ocean: Status, Threats and Significance",PUBLISHED,-,ASSIGNED,PARC-0013,UPLOADED,http://link.springer.com/10.1007/978-1-4020-6847-8_16,-,Book chapter,"Maragos, J., A. Friedlander, S. Godwin, C. Musburger, R. Tsuda, E. Flint, O. Pantos, P. Ayotte, E. Sala, S.A. Sandin, S. McTee, D. Siciliano and D. Obura 2008. U.S. coral reefs in the Line and Phoenix Islands, central Pacific Ocean: status, threats and significance. In: B. Riegl and R.E. Dodge (Eds) Coral Reefs of the USA, Springer, pp. 643-654. {PARC-0013}",2008,"Maragos, James; Friedlander, Alan M.; Godwin, Scott; Musburger, Craig; Tsuda, Roy; Flint, Elizabeth; Pantos, Olga; Ayotte, Paula; Sala, Enric; Sandin, Stuart; McTee, Sarah; Siciliano, Daria; Obura, David",Coral Reefs of the USA,NA,http://link.springer.com/10.1007/978-1-4020-6847-8_16,2008,NA
"US Coral Reefs in the Line and Phoenix Islands, Central Pacific Ocean: History, Geology, Oceanography, and Biology",PUBLISHED,-,ASSIGNED,PARC-0014,UPLOADED,http://link.springer.com/10.1007/978-1-4020-6847-8_15,-,Library info not verified,"Maragos, J., J. Miller, J. Gove, E. DeMartini, A. Friedlander, S. Godwin, C. Musburger, M. Timmers, R. Tsuda, P. Vroom, E. Flint, E. Lundblad, J. Weiss, P. Ayotte, E. Sala, S.A. Sandin, S. McTee, T. Wass, D. Siciliano, R. Brainard, D. Obura, S. Ferguson and B. Mundy 2008. U.S. coral reefs in the Line and Phoenix Islands, central Pacific Ocean: history, geology, oceanography, and biology. In: B. Riegl and R.E. Dodge (eds) Coral Reefs of the USA, Springer, pp. 595-642. {PARC-0014}",2008,"Maragos, James; Miller, Joyce; Gove, Jamison; De Martini, Edward; Friedlander, Alan M.; Godwin, Scott; Musburger, Craig; Timmers, Molly; Tsuda, Roy; Vroom, Peter; Flint, Elizabeth; Lundblad, Emily; Weiss, Jonathan; Ayotte, Paula; Sala, Enric; Sandin, Stuart; McTee, Sarah; Wass, Todd; Siciliano, Daria; Brainard, Russell; Obura, David; Ferguson, Scott; Mundy, Bruce",Coral Reefs of the USA,NA,http://link.springer.com/10.1007/978-1-4020-6847-8_15,2008,NA
"Movement patterns, foraging ecology and digestive physiology of blacktip reef sharks, Carcharhinus melanopterus, at Palmyra Atoll: a predator dominated ecosystem",DISSERTATION,12/1/2008,ASSIGNED,PARC-0015,UPLOADED,https://nsgl.gso.uri.edu/hawau/hawauy08003.pdf,-,-,"Papastamatiou, Y.P. 2008. Movement patterns, foraging ecology and digestive physiology of blacktip reef sharks, Carcharhinus melanopterus, at Palmyra Atoll: a predator dominated ecosystem. Ph.D. Dissertation, University of Hawaii at Manoa, 190pp. {PARC-0015}",NA,NA,NA,NA,NA,NA,NA
Baselines and degradation of coral reefs in the northern Line Islands,PUBLISHED,1/9/2008,ASSIGNED,PARC-0016,UPLOADED,https://dx.plos.org/10.1371/journal.pone.0001548,https://dx.plos.org/10.1371/journal.pone.0001548,Supplemental data links given on web page and in pdf,"Sandin, S.A., J.E. Smith, E.E. DeMartini, E.A. Dinsdale, S.D. Donner, A.M. Friedlander, T. Konotchick, M. Malay, J.E. Maragos, D. Obura, O. Pantos, G. Paulay, M. Richie, F. Rohwer, R.E. Schroeder, S. Walsh, J.B.C. Jackson, N. Knowlton and E. Sala 2008. Baselines and degradation of coral reefs in the northern Line Islands. PLoS ONE 3(2): e1548 (11 pgs). {PARC-0016}",NA,NA,NA,NA,NA,NA,NA
"Coral disease at Palmyra Atoll, a remote reef system in the Central Pacific",PUBLISHED,10/3/2007,ASSIGNED,PARC-0017,UPLOADED,https://link.springer.com/article/10.1007%2Fs00338-007-0314-y,-,-,"Williams, G.J., G.S. Aeby and S.K. Davy 2008. Coral disease at Palmyra Atoll, a remote reef system in the Central Pacific. Coral Reefs. 27:207. {PARC-0017}",2008,"Williams, G. J.; Aeby, G. S.; Davy, S. K.",Coral Reefs,10.1007/s00338-007-0314-y,http://link.springer.com/10.1007/s00338-007-0314-y,2008-03,Coral Reefs
Characterization of the coral communities at Palmyra Atoll in the remote Central Pacific Ocean,PUBLISHED,6/6/2008,ASSIGNED,PARC-0018,UPLOADED,https://repository.si.edu/handle/10088/6797,-,-,"Williams, G.J., J.E. Maragos and S.K. Davy 2008. Characterization of the coral communities at Palmyra Atoll in the remote Central Pacific Ocean. Atoll Research Bulletin. 557:1-30. {PARC-0018}",NA,NA,NA,NA,NA,NA,NA
Phase shift from a coral to a corallimorph-dominated reef associated with a shipwreck on Palmyra Atoll,PUBLISHED,8/20/2008,ASSIGNED,PARC-0019,UPLOADED,https://doi.org/10.1371/journal.pone.0002989,-,-,"Work, T.M., G.S. Aeby and J.E. Maragos 2008. Phase shift from a coral to a corallimorph-dominated reef associated with a shipwreck on Palmyra Atoll. PLoS ONE 3(8):e2989 (5 pgs). {PARC-0019}",NA,NA,NA,NA,NA,NA,NA
"Polydactyly in the central pacific gecko, Lepidodactylus sp. (Squamata: Gekkonidae)",PUBLISHED,12/24/2009,ASSIGNED,PARC-0020,UPLOADED,https://pubs.er.usgs.gov/publication/70035219,-,"Manuscript describing discovery of a single polydactic specimen. Geographic sampling, species information, and date of discovery are included in the paper","Bauer, A. M., S.A. Hathaway and R.N. Fisher 2009. Polydactyly in the Central Pacific Gecko, Lepidodactylus sp. (Squamata: Gekkonidae). Herpetology Notes 2: 243-246. {PARC-0020}",NA,NA,NA,NA,NA,NA,NA
Species Identification and Measurement of Activity in Odontocete Species of Palmyra Atoll by Acoustic Monitoring,PUBLISHED,6/30/2009,ASSIGNED,PARC-0021,UPLOADED,http://asa.scitation.org/doi/10.1121/1.2932958,-,Doctor rerum naturalium. (equivalent to Ph.D.) Dissertation. | Some supporting information available,"Baumann-Pickering, S. 2009. Species identification and measurement of activity in Odontocete species of Palmyra Atoll by acoustic monitoring. Doctor rerum naturalium. (equivalent to Ph.D.) Dissertation. Eberhard-Karls Universitat, Tubingen, Germany. 100 pgs. {PARC-0021}",NA,NA,NA,NA,NA,NA,NA
"Behavior of melon-headed whales, Peponocephala electra, near oceanic islands",PUBLISHED,12/3/2008,ASSIGNED,PARC-0022,UPLOADED,http://doi.wiley.com/10.1111/j.1748-7692.2009.00281.x,-,-,"Brownell R.L., K. Ralls, S. Baumann-Pickering and M.M. Poole 2009. Behavior of melon-headed whales, Peponocephala electra, near oceanic islands. Marine Mammal Science 25:639-658. {PARC-0022}",NA,NA,NA,NA,NA,NA,NA
Line Islands,PUBLISHED,-,ASSIGNED,PARC-0023,UPLOADED,http://www.jstor.org/stable/10.1525/j.ctt1pn90r.131,-,Encyclopedia entry,"Charles, C. and S. A. Sandin 2009. Line Islands. In: R.G. Gillespie and D.A. Clague (Eds) The Encyclopedia of Islands, University of California Press, pp. 553-558. {PARC-0023}",NA,NA,NA,NA,NA,NA,NA
Application of the littoral cell concept to managing a protected atoll: Palmyra Atoll National Wildlife Reserve,PUBLISHED,10/27/2019,ASSIGNED,PARC-0024,UPLOADED,https://doi.org/doi:10.1016/j.ocecoaman.2009.10.007,-,No data availability reported,"Collen, J.D., J.P.A. Gardner and D.W. Garton 2009. Application of the littoral cell concept to managing a protected atoll: Palmyra Atoll National Wildlife Reserve. Ocean and Coastal Management 52: 628-635. {PARC-0024}",NA,NA,NA,NA,NA,NA,NA
Shoreline changes and natural sediment redistribution at Palmyra Atoll (Equatorial Pacific Ocean): 1874-presen,PUBLISHED,4/17/2008,ASSIGNED,PARC-0025,UPLOADED,https://doi.org/10.2112/08-1007.1,-,Library info not verified,"Collen, J.D., D.W. Garton and J.P.A. Gardner 2009. Shoreline changes and natural sediment redistribution at Palmyra Atoll (Equatorial Pacific Ocean): 1874-present. Journal of Coastal Research 25: 711-722. {PARC-0025}",NA,NA,NA,NA,NA,NA,NA
Distributions of stress-resistant coral symbionts match environmental patterns at local but not regional scales,PUBLISHED,3/12/2009,ASSIGNED,PARC-0026,UPLOADED,https://doi.org/ 10.3354/meps07871,-,-,"Oliver, T.A., S.R. Palumbi 2009. Distributions of stress-resistant coral symbionts match environmental patterns at local but not regional scales. Marine Ecology Progress Series 378:93-103. {PARC-0026}",2009,"Oliver, Ta; Palumbi, Sr",Marine Ecology Progress Series,10.3354/meps07871,http://www.int-res.com/abstracts/meps/v378/p93-103/,2009-03-12,Mar. Ecol. Prog. Ser.
Cascading behavioral effects of fishing on coral reefs,DISSERTATION,9/4/2009,ASSIGNED,PARC-0027,UPLOADED,https://search.proquest.com/docview/304855131?accountid=14522,-,-,"Madin, E.M.P. 2009. Cascading behavioral effects of fishing on coral reefs. Ph.D. Dissertation. University of California, Santa Barbara. 109 pp. {PARC-0027}",2009,"Madin, Elizabeth McHenry Potter",NA,NA,https://search.proquest.com/docview/304855131?accountid=14522,2009,NA
"Distribution, size frequency, and sex ratios of blacktip reef sharks Carcharhinus melanopterus at Palmyra Atoll: a predator-dominated ecosystem",PUBLISHED,4/23/2009,ASSIGNED,PARC-0028,UPLOADED,http://doi.org/10.1111/j.1095-8649.2009.02329.x,-,-,"Papastamatiou, Y.P., J.E. Caselle, A.M. Friedlander and C.G. Lowe 2009. Distribution, size frequency, and sex ratios of blacktip reef sharks Carcharhinus melanopterus at Palmyra Atoll: a predator-dominated ecosystem. Journal of Fish Biology 75:647-654. {PARC-0028}",NA,NA,NA,NA,NA,NA,NA
Scale-dependent effects of habitat on movements and path structure of reef sharks at a predator-dominated ecosystem,PUBLISHED,7/23/2008,ASSIGNED,PARC-0029,UPLOADED,https://www.ncbi.nlm.nih.gov/pubmed/19449694,https://www.ncbi.nlm.nih.gov/pubmed/19449694,Library info not verified,"Papastamatiou, Y., C.G. Lowe, J.E. Caselle and A.M. Friedlander 2009. Scale-dependent effects of habitat on movements and path structure of reef sharks at a predator-dominated ecosystem. Ecology 90(4):996-1008. {PARC-0029}",NA,NA,NA,NA,NA,NA,NA
"Distribution, abundance, and microhabitat characterization of small juvenile corals at Palmyra Atoll",PUBLISHED,2/11/2009,ASSIGNED,PARC-0030,UPLOADED,http://www.int-res.com/abstracts/meps/v376/p133-142/,-,-,"Roth, M.S. and N. Knowlton 2009. Distribution, abundance, and microhabitat characterization of small juvenile corals at Palmyra Atoll. Marine Ecology Progress Series 376:133-142. {PARC-0030}",2009,"Roth, Ms; Knowlton, N",Marine Ecology Progress Series,10.3354/meps07787,http://www.int-res.com/abstracts/meps/v376/p133-142/,2009-02-11,Mar. Ecol. Prog. Ser.
Stomach nematodes (Mastophorus muris) in rats (Rattus rattus) are associated with coconut (Cocos nucifera) habitat at Palmyra Atoll,PUBLISHED,9/17/2009,ASSIGNED,PARC-0031,UPLOADED,https://doi.org/10.1645/GE-2180.1,-,"Cannot find record of this paper on G. Scholar, no pdf uploaded","Lafferty, K.D., S.A. Hathaway, A.S. Wegmann, F.S. Shipley, A.R. Backlin, J. Helm and R.N. Fisher 2010. Stomach nematodes (Mastophorus muris) in rats (Rattus rattus) are associated with coconut (Cocos nucifera) habitat at Palmyra Atoll. Journal of Parasitology 96(1):16-20. {PARC-0031}",NA,NA,NA,NA,NA,NA,NA
"An observation of mating in free-ranging blacktip reef sharks, Carcharhinus melanopterus",PUBLISHED,4/10/2009,ASSIGNED,PARC-0032,UPLOADED,http://www.bioone.org/doi/10.2984/64.2.349,-,No relevant supplementary data (observation report),"McCauley, D.J., Y.P. Papastamatiou and H.S. Young 2010. An observation of mating in free-ranging blacktip reef sharks, Carcharhinus melanopterus. Pacific Science 64(2):349-352. {PARC-0032}",NA,NA,NA,NA,NA,NA,NA
Long term movement patterns and trophic ecology of blacktip reef sharks (Carcharhinus melanopterus) at Palmyra Atoll,PUBLISHED,2/9/2010,ASSIGNED,PARC-0033,UPLOADED,http://dx.doi.org/10.1016/j.jembe.2010.02.009,http://dx.doi.org/10.1016/j.jembe.2010.02.009,Some supporting information noted as available,"Papastamatiou Y, A.M. Friedlander, J.E. Caselle and C.G. Lowe 2010. Long term movement patterns and trophic ecology of blacktip reef sharks (Carcharhinus melanopterus) at Palmyra Atoll. Journal of Experimental Marine Biology and Ecology 386:94-102 {PARC-0033}",NA,NA,NA,NA,NA,NA,NA
