transfered_to_zotero_online,padl_n,title,pub_type,parc_status,parc_number,lib_status,pub_location,data_link,reference,publication_year,author,journal_title,doi,abstract,keywords,notes,address_mgmt_action_which_one
,,"Characterizing coral reef biodiversity: genetic species delimitation in brachyuran crabs of Palmyra Atoll, Central Pacific",paper,NO PARC,-,,http://dx.doi.org/10.1080/24701394.2020.1769087,,,2020,"Servis, JA; Reid, BN; Timmers, MA; Stergioula, V; Naro-Maciel, E",MITOCHONDRIAL DNA PART A,10.1080/24701394.2020.1769087,"Coral reefs are highly threatened ecosystems, yet there are numerous challenges in conducting inventories of their vanishing biodiversity, partly because many taxa remain difficult to detect and describe. Genetic species delimitation methods provide a standardized means for taxonomic classification including of cryptic, rare, or elusive groups, but results can vary by analytical method and genetic marker. In this study, a combination of morphological and genetic identification methods was used to estimate species richness and identify taxonomic units in true crabs (Infraorder Brachyura; n = 200) from coral reefs of Palmyra Atoll, Central Pacific. Genetic identification was based on matches between mitochondrial 16S ribosomal RNA (16S rRNA) and/or cytochromecoxidase subunit I (COI) sequences to GenBank data, while morphological work relied on the taxonomic literature. Broad agreement in the number of candidate species delimited by genetic distance thresholds and tree-based approaches was found, although the multi-rate Poisson tree process (mPTP) was less appropriate for this dataset. The COI sequence data identified 30-32 provisional species and the 16S data revealed 34-35. The occurrence of 10 families, 20 genera, and 19 species of brachyurans at Palmyra was corroborated by at least two methods. Diversity levels withinChlorodiella laevissimaindicated possible undescribed or cryptic species in currently lumped taxa. These results illustrate the efficacy of DNA sequences in identifying organisms and detecting cryptic variation, and underscore the importance of using appropriate genetic markers and multiple species delimitation analyses, with applications for future species descriptions.",,,
,,Unraveling the taxonomic identity of Cocos nucifera f. palmyrensis (Arecaceae: Cocoseae),paper,NO PARC,-,,http://dx.doi.org/10.15553/c2020v751a2,,,2020,"Harries, HC; Pignotti, L; Baldini, RM",CANDOLLEA,10.15553/c2020v751a2,"The main traits of the rich equatorial vegetation covering the remote coral atoll Palmyra in North Pacific Ocean, where groves of Cocos nucifera L. (Arecaceae) currently dominate on other formations, are here summoned. Way and timing of human activities in historical and more recent times, which possibly altered the original vegetation, are also briefly reviewed.The unusually large size of Palmyra coconut fruits had astonished the American botanist Joseph Francis Rock (1884-1962) who sent four fruits to the renowned Florentine palm specialist Odoardo Beccari (1843-1920). Beccari described the material and validly published it in 1916 as Cocos nucifera f. palmyrensis Becc. Part of the original material was retrieved at FI. One of the two coconut fruits still kept at FI is here designated as lectotype of the Beccari name, which is here elevated to the rank of variety, reflecting better than form current concepts for isolated island populations. Palmyra Atoll with its coconuts played a part in the age-old dispute on the geographical origin of Cocos nucifera. This taxon was cited by Beccari and by Emilio Chiovenda (1871-1941) as a support to their hypotheses of an Asian origin of the species. The significance of these dated interpretations in the light of currently available information is here briefly discussed.",,,
,,Palstimolide A: A Complex Polyhydroxy Macrolide with Antiparasitic Activity,paper,NO PARC,-,,http://dx.doi.org/10.3390/molecules25071604,,,2020,"Keller, L; Siqueira-Neto, JL; Souza, JM; Eribez, K; LaMonte, GM; Smith, JE; Gerwick, WH",MOLECULES,10.3390/molecules25071604,"Marine Cyanobacteria (blue-green algae) have been shown to possess an enormous potential to produce structurally diverse natural products that exhibit a broad spectrum of potent biological activities, including cytotoxic, antifungal, antiparasitic, antiviral, and antibacterial activities. Here, we report the isolation and structure determination of palstimolide A, a complex polyhydroxy macrolide with a 40-membered ring that was isolated from a tropical marine cyanobacterium collected at Palmyra Atoll. NMR-guided fractionation in combination with MS2-based molecular networking and isolation via HPLC yielded 0.7 mg of the pure compound. The small quantity isolated along with the presence of significant signal degeneracy in both the H-1 and C-13-NMR spectra complicated the structure elucidation of palstimolide A. Various NMR experiments and solvent systems were employed, including the LR-HSQMBC experiment that allows the detection of long-range H-1-C-13 correlation data across 4-, 5-, and even 6-bonds. This expanded NMR data set enabled the elucidation of the palstimolide's planar structure, which is characterized by several 1,5-disposed hydroxy groups as well as a tert-butyl group. The compound showed potent antimalarial activity with an IC50 of 223 nM as well as interesting anti-leishmanial activity with an IC50 of 4.67 mu M.",,,
,,Tutuilamides A-C: Vinyl-Chloride-Containing Cyclodepsipeptides from Marine Cyanobacteria with Potent Elastase Inhibitory Properties,paper,NO PARC,-,,http://dx.doi.org/10.1021/acschembio.9b00992,,,2020,"Keller, L; Canuto, KM; Liu, CX; Suzuki, BM; Almaliti, J; Sikandar, A; Naman, CB; Glukhov, E; Luo, DM; Duggan, BM; Luesch, H; Koehnke, J; O'Donoghue, AJ; Gerwick, WH",ACS CHEMICAL BIOLOGY,10.1021/acschembio.9b00992,"Marine cyanobacteria (blue-green algae) have been shown to possess an enormous capacity to produce structurally diverse natural products that exhibit a broad spectrum of potent biological activities, including cytotoxic, antifungal, antiparasitic, antiviral, and antibacterial activities. Using mass-spectrometryguided fractionation together with molecular networking, cyanobacterial field collections from American Samoa and Palmyra Atoll yielded three new cyclic peptides, tutuilamides A-C. Their structures were established by spectroscopic techniques including 1D and 2D NMR, HR-MS, and chemical derivatization. Structure elucidation was facilitated by employing advanced NMR techniques including nonuniform sampling in combination with the 1,1-ADEQUATE experiment. These cyclic peptides are characterized by the presence of several unusual residues including 3-amino-6-hydroxy-2-piperidone and 2-amino-2-butenoic acid, together with a novel vinyl chloride-containing residue. Tutuilamides A-C show potent elastase inhibitory activity together with moderate potency in H-460 lung cancer cell cytotoxicity assays. The binding mode to elastase was analyzed by X-ray crystallography revealing a reversible binding mode similar to the natural product lyngbyastatin 7. The presence of an additional hydrogen bond with the amino acid backbone of the flexible side chain of tutuilamide A, compared to lyngbyastatin 7, facilitates its stabilization in the elastase binding pocket and possibly explains its enhanced inhibitory potency.",,,
,,"Draft Genome Sequence of Vibrio sp. Strain OCN044, Isolated from Palmyra Atoll, Northern Line Islands",paper,NO PARC,-,,http://dx.doi.org/10.1128/MRA.00042-20,,,2020,"Loughran, RM; Esquivel, AR; Deadmond, MC; Koyack, MJ; Paddock, BE; O'Hanlon, SM; Ushijima, B; Saw, JH; Videau, P",MICROBIOLOGY RESOURCE ANNOUNCEMENTS,10.1128/MRA.00042-20,"Vibrio sp. strain OCN044 is a Gram-negative gammaproteobacterium found in marine environments. Presented here is the whole-draft genome sequence of nonpathogenic Vibrio sp. strain OCN044, isolated from a healthy Acropora cytherea colony off the western reef terrace of Palmyra Atoll.",,,
,,Intercolony delta O-18 and Sr/Ca variability among Porites spp. corals at Palmyra Atoll: Toward more robust coral-based estimates of climate,paper,NO PARC,-,,http://dx.doi.org/10.1029/2019GC008420,,,2019,"Sayani, HR; Cobb, KM; DeLong, K; Hitt, NT; Druffel, ERM",GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS,10.1029/2019GC008420,"Quantitative estimates of natural climate variability are required to detect anthropogenic climate trends in the tropical Pacific; however, instrumental records from this region are too short and scarce. Coral oxygen isotopic (delta O-18) and strontium to calcium (Sr/Ca) records are often used to extend instrumental observations; however, differences in the mean Sr/Ca and delta O-18 values of Porites spp. colonies from the same reef can introduce large uncertainties in coral-based climate reconstructions. To quantify intercolony variability at Palmyra Atoll, we generate monthly resolved Sr/Ca and delta O-18 time series from five Porites spp. colonies that grew between 1980 and 2010. Monthly to interannual variability in Sr/Ca and delta O-18 is well-reproduced among different colonies; however, we document intercolony offsets in mean Sr/Ca of +/- 0.09 mmol/mol (1 sigma) or similar to 1 degrees C, and in mean delta O-18 of +/- 0.12 parts per thousand (1s) or similar to 0.1 degrees C. The sensitivity of each proxy to climate also varies across colonies, with Sr/Ca-SST slopes ranging from -0.06 to -0.1 mmol mol(-1) degrees C-1 and delta O-18-SST slopes ranging from -0.25 to -0.35 parts per thousand degrees C-1. Intercolony variability in both coral Sr/Ca and delta O-18 reduces the reproducibility of coral-based delta O-18(sw) reconstructions across overlapping colonies. Accounting for both intercolony variability and slope error suggests that SST reconstructions using Sr/Ca from a single Palmyra coral have an uncertainty of +/- 1.3 degrees C (1 sigma); however, replicating Sr/Ca records across multiple colonies can greatly reduce this uncertainty. A composite Sr/Ca record built using five modern cores, for example, offers a reduced error of +/- 0.6 degrees C (1 sigma) in mean SST reconstructions, similar to 2.5 times smaller than errors associated with reconstructions from single corals.",,,
,,Tropical seabirds sample broadscale patterns of marine contaminants,paper,NO PARC,-,,http://dx.doi.org/10.1016/j.scitotenv.2019.07.147,,,2019,"Gilmour, ME; Hudson, SAT; Lamborg, C; Fleishman, AB; Young, HS; Shaffer, SA",SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2019.07.147,"Contaminants in the marine environment are widespread, but ship-based sampling routines are much narrower. We evaluated the utility of seabirds, highly-mobile marine predators, as broad samplers of contaminants throughout three tropical ocean regions. Our aim was to fill a knowledge gap in the distributions of, and processes that contribute to, tropical marine contaminants; and explore how species-specific foraging ecologies could inform or bias our understanding of contaminant distributions. Mercury and persistent organic pollutant (POPs) concentrations were measured in adults of five seabird species from four colonies in the central Pacific (Laysan and Tern Islands, Hawaii; Palmyra Atoll) and the eastern Caribbean (Barbuda). Blood-based total mercury (THg) and 89 POPs were measured in two seabird families: surface-foraging frigatebirds (Fregata spp.) and plunge-diving boobies (Sula spp.). Overall, largescale contaminant differences between colonies were more informative of contaminant distributions than inter-specific foraging ecology. Model selection results indicated that proximity to human populations was the best predictor of THg and POPs. Regional differences in contaminants were distinct: Barbudan Magnificent Frigatebirds had more compounds (n = 52/89 POP detected) and higher concentrations (geometric mean THg = 0.97 mu g g(-1); mean Sigma POP53 = 26.6 ng mL(-1)) than the remote colonies (34-42/89 POP detected; range of THg geometric means = 0.33-0.93 mu g g(-1); range of mean Sigma POP53:7.3-17.0 ng mL(-1)) and had the most recently-synthesized POPs. Moderate differences in foraging ecologies were somewhat informative of inter-specific differences in contaminant types and concentrations between nearshore and offshore foragers. Across species, contaminant concentrations were higher in frigatebirds (THg = 0.87 mu g g(-1); Sigma POP53 = 17.5 ng mL(-1)) compared to boobies (THg = 0.48 mu g g(-1); Sigma POP53=9.8). Ocean currents and contaminants' physiochemical properties provided additional insight into the scales of spatial and temporal contaminant exposure. Seabirds are excellent, broad samplers with which we can understand contaminant distributions in the marine environment. This is especially important for tropical remote regions that are under-sampled. (c) 2019 Elsevier B.V. All rights reserved.",,,
,,Foraging consistency of coral reef fishes across environmental gradients in the central Pacific,paper,NO PARC,-,,http://dx.doi.org/10.1007/s00442-019-04496-9,,,2019,"Zgliczynski, BJ; Williams, GJ; Hamilton, SL; Cordner, EG; Fox, MD; Eynaud, Y; Michener, RH; Kaufman, LS; Sandin, SA",OECOLOGIA,10.1007/s00442-019-04496-9,"We take advantage of a natural gradient of human exploitation and oceanic primary production across five central Pacific coral reefs to examine foraging patterns in common coral reef fishes. Using stomach content and stable isotope (delta N-15 and delta C-13) analyses, we examined consistency across islands in estimated foraging patterns. Surprisingly, species within the piscivore-invertivore group exhibited the clearest pattern of foraging consistency across all five islands despite there being a considerable difference in mean body mass (14 g-1.4 kg) and prey size (0.03-3.8 g). In contrast, the diets and isotopic values of the grazer-detritivores varied considerably and exhibited no consistent patterns across islands. When examining foraging patterns across environmental contexts, we found that delta N-15 values of species of piscivore-invertivore and planktivore closely tracked gradients in oceanic primary production; again, no comparable patterns existed for the grazer-detritivores. The inter-island consistency in foraging patterns within the species of piscivore-invertivore and planktivore and the lack of consistency among species of grazer-detritivores suggests a linkage to different sources of primary production among reef fish functional groups. Our findings suggest that piscivore-invertivores and planktivores are likely linked to well-mixed and isotopically constrained allochthonous oceanic primary production, while grazer-detritivores are likely linked to sources of benthic primary production and autochthonous recycling. Further, our findings suggest that species of piscivore-invertivore, independent of body size, converge toward consuming low trophic level prey, with a hypothesized result of reducing the number of steps between trophic levels and increasing the trophic efficiency at a community level.",,,
,,Trophic plasticity in a common reef-building coral: Insights from delta C-13 analysis of essential amino acids,paper,NO PARC,-,,http://dx.doi.org/10.1111/1365-2435.13441,,,2019,"Fox, MD; Smith, EAE; Smith, JE; Newsome, SD",FUNCTIONAL ECOLOGY,10.1111/1365-2435.13441,"Reef-building corals are mixotrophic organisms that can obtain nutrition from endosymbiotic microalgae (autotrophy) and particle capture (heterotrophy). Heterotrophic nutrition is highly beneficial to many corals, particularly in times of stress. Yet, the extent to which different coral species rely on heterotrophic nutrition remains largely unknown because it is challenging to quantify. We developed a quantitative approach to investigate coral nutrition using carbon isotope (delta C-13) analysis of six essential amino acids (AA(ESS)) in a common Indo-Pacific coral (Pocillopora meandrina) from the fore reef habitat of Palmyra Atoll. We sampled particulate organic matter (POM) and zooplankton as the dominant heterotrophic food sources in addition to the coral host and endosymbionts. We also measured bulk tissue carbon (delta C-13) and nitrogen (delta N-15) isotope values of each sample type. Patterns among delta C-13 values of individual AA(ESS) provided complete separation between the autotrophic (endosymbionts) and heterotrophic nutritional sources. In contrast, bulk tissue delta C-13 and delta N-15 values were highly variable across the putative food sources and among the coral and endosymbiont fractions, preventing accurate estimates of coral nutrition on Palmyra. We used linear discriminant analysis to quantify differences among patterns of AA(ESS) delta C-13 values, or 'fingerprints', of the food resources available to corals. This allowed for the development of a quantitative continuum of coral nutrition that can identify the relative contribution of autotrophic and heterotopic nutrition to individual colonies. Our approach revealed exceptional variation in conspecific colonies at scales of metres to kilometres. On average, 41% of AA(ESS) in P. meandrina on Palmyra are acquired via heterotrophy, but some colonies appear capable of obtaining the majority of AA(ESS) from one source or the other. The use of AA(ESS) delta C-13 fingerprinting analysis offers a significant improvement on the current methods for quantitatively assessing coral trophic ecology. We anticipate that this approach will facilitate studies of coral nutrition in the field, which are essential for comparing coral trophic ecology across taxa and multiple spatial scales. Such information will be critical for understanding the role of heterotrophic nutrition in coral resistance and/or resilience to ongoing environmental change. A free Plain Language Summary can be found within the Supporting Information of this article.",,,
,,Coral Reef Change Detection in Remote Pacific Islands Using Support Vector Machine Classifiers,paper,NO PARC,-,,http://dx.doi.org/10.3390/rs11131525,,,2019,"Gapper, JJ; El-Askary, H; Linstead, E; Piechota, T",REMOTE SENSING,10.3390/rs11131525,"Despite the abundance of research on coral reef change detection, few studies have been conducted to assess the spatial generalization principles of a live coral cover classifier trained using remote sensing data from multiple locations. The aim of this study is to develop a machine learning classifier for coral dominated benthic cover-type class (CDBCTC) based on ground truth observations and Landsat images, evaluate the performance of this classifier when tested against new data, then deploy the classifier to perform CDBCTC change analysis of multiple locations. The proposed framework includes image calibration, support vector machine (SVM) training and tuning, statistical assessment of model accuracy, and temporal pixel-based image differencing. Validation of the methodology was performed by cross-validation and train/test split using ground truth observations of benthic cover from four different reefs. These four locations (Palmyra Atoll, Kingman Reef, Baker Island Atoll, and Howland Island) as well as two additional locations (Kiritimati Island and Tabuaeran Island) were then evaluated for CDBCTC change detection. The in-situ training accuracy against ground truth observations for Palmyra Atoll, Kingman Reef, Baker Island Atoll, and Howland Island were 87.9%, 85.7%, 69.2%, and 82.1% respectively. The classifier attained generalized accuracy scores of 78.8%, 81.0%, 65.4%, and 67.9% for the respective locations when trained using ground truth observations from neighboring reefs and tested against the local ground truth observations of each reef. The classifier was trained using the consolidated ground truth data of all four sites and attained a cross-validated accuracy of 75.3%. The CDBCTC change detection analysis showed a decrease in CDBCTC of 32% at Palmyra Atoll, 25% at Kingman Reef, 40% at Baker Island Atoll, 25% at Howland Island, 35% at Tabuaeran Island, and 43% at Kiritimati Island. This research establishes a methodology for developing a robust classifier and the associated Controlled Parameter Cross-Validation (CPCV) process for evaluating how well the model will generalize to new data. It is an important step for improving the scientific understanding of temporal change within coral reefs around the globe.",,,
,,Insights into coral reef benthic dynamics from nonlinear spatial forecasting,paper,NO PARC,-,,http://dx.doi.org/10.1098/rsif.2019.0047,,,2019,"McNamara, DE; Cortale, N; Edwards, C; Eynaud, Y; Sandin, SA",JOURNAL OF THE ROYAL SOCIETY INTERFACE,10.1098/rsif.2019.0047,"Nonlinear time-series forecasting, or empirical dynamic modelling, has been used extensively in the past two decades as a tool for distinguishing between random temporal behaviour and nonlinear deterministic dynamics. Previous authors have extended nonlinear time-series forecasting to continuous spatial data. Here, we adjust spatial forecasting to handle discrete data and apply the technique to explore the ubiquity of nonlinear determinism in irregular spatial configurations of coral and algal taxa from Palmyra Atoll, a relatively pristine reef in the central Pacific Ocean. We find that the spatial distributions of coral and algal taxa show signs of nonlinear determinism in some locations and that these signals can change through time. We introduce the hypothesis that nonlinear spatial determinism may be a signal of systems in intermediate developmental (i.e. successional) stages, with spatial randomness characterizing early (i.e. recruitment dominated) and late-successional (i.e. 'climax' or attractor) phases. Common state-based metrics that sum community response to environmental forcing lack resolution to detect dynamics of (potential) recovery phases; incorporating signal of spatial patterning among sessile taxa holds unique promise to elucidate dynamical characters of complex ecological systems, thereby enhancing study and response efforts.",,,
,,"Parasitic copepods (Crustacea, Hexanauplia) on fishes from the lagoon flats of Palmyra Atoll, Central Pacific",paper,NO PARC,-,,http://dx.doi.org/10.3897/zookeys.833.30835,,,2019,"Soler-Jimenez, LC; Morales-Serna, FN; Aguirre-Macedo, ML; McLaughlin, JP; Jaramillo, AG; Shaw, JC; James, AK; Hechinger, RF; Kuris, AM; Lafferty, KD; Vidal-Martinez, VM",ZOOKEYS,10.3897/zookeys.833.30835,"We surveyed copepods parasitic on the fishes at Palmyra, a remote atoll in the Central Indo-Pacific faunal region. In total, we collected 849 individual fish, representing 44 species, from the intertidal lagoon flats at Palmyra and recovered 17 parasitic copepod species. The parasitic copepods were: Orbitacolax williamsi on Mulloidichthys flavolineatus; Anuretes serratus on Acanthurus xanthopterus; Caligus confusus on Carangoides ferdau, Carangoides orthogrammus, Caranx ignobilis, Caranx melampygus, and Caranx papuensis; Caligus kapuhili on Chaetodon auriga and Chaetodon lunula; Caligus laticaudus on Rhinecanthus aculeatus, Pseudobalistes flavimarginatus, M. flavolineatus, Upeneus taeniopterus, Chrysiptera glauca, and Epinephalus merra; Caligus mutabilis on Lutjanus fulvus and Lutjanus monostigma; Caligus randalli on C. ignobilis; Caligus sp. on L. fulvus; Caritus serratus on Chanos chanos; Lepeophtheirus lewisi on A. xanthopterus; Lepeophtheirus uluus on C. ignobilis; Dissonus similis on Arothron hispidus; Nemesis sp. on Carcharhinus melanopterus; Hatschekia longiabdominalis on A. hispidus; Hatschekia bicaudata on Chaetodon auriga and Chaetodon lunula; Kroyeria longicauda on C. melanopterus and Lernanthropus sp. on Kyphosus cinerascens. All copepod species reported here have been previously reported from the Indo-Pacific but represent new geographical records for Palmyra, demonstrating large-scale parasite dispersion strategies.",,,
,,Evaluation of Spatial Generalization Characteristics of a Robust Classifier as Applied to Coral Reef Habitats in Remote Islands of the Pacific Ocean,paper,NO PARC,-,,http://dx.doi.org/10.3390/rs10111774,,,2018,"Gapper, JJ; El-Askary, H; Linstead, E; Piechota, T",REMOTE SENSING,10.3390/rs10111774,"This study was an evaluation of the spectral signature generalization properties of coral across four remote Pacific Ocean reefs. The sites under consideration have not been the subject of previous studies for coral classification using remote sensing data. Previous research regarding using remote sensing to identify reefs has been limited to in-situ assessment, with some researchers also performing temporal analysis of a selected area of interest. This study expanded the previous in-situ analyses by evaluating the ability of a basic predictor, Linear Discriminant Analysis (LDA), trained on Depth Invariant Indices calculated from the spectral signature of coral in one location to generalize to other locations, both within the same scene and in other scenes. Three Landsat 8 scenes were selected and masked for null, land, and obstructed pixels, and corrections for sun glint and atmospheric interference were applied. Depth Invariant Indices (DII) were then calculated according to the method of Lyzenga and an LDA classifier trained on ground truth data from a single scene. The resulting LDA classifier was then applied to other locations and the coral classification accuracy evaluated. When applied to ground truth data from the Palmyra Atoll location in scene path/row 065/056, the initial model achieved an accuracy of 80.3%. However, when applied to ground truth observations from another location within the scene, namely, Kingman Reef, it achieved an accuracy of 78.6%. The model was then applied to two additional scenes (Howland Island and Baker Island Atoll), which yielded an accuracy of 69.2% and 71.4%, respectively. Finally, the algorithm was retrained using data gathered from all four sites, which produced an overall accuracy of 74.1%.",,,
,,Plasticity of foraging behaviors in response to diverse environmental conditions,paper,NO PARC,-,,http://dx.doi.org/10.1002/ecs2.2301,,,2018,"Gilmour, ME; Castillo-Guerrero, JA; Fleishman, AB; Hernandez-Vazquez, S; Young, HS; Shaffer, SA",ECOSPHERE,10.1002/ecs2.2301,"Due to rapidly changing global environmental conditions, many animals are now experiencing concurrent changes in both resource availability and the foraging cues associated with finding those resources. By employing flexible, plastic foraging strategies that use different types of environmental foraging cues, animals could adapt to these novel future environments. To evaluate the extent to which such flexibility and plasticity exist, we analyzed a large dataset of a Glade (Sulidae; the boobies) of widespread aerial tropical predators that feed in highly variable marine habitats. These surface foragers are typical of many ocean predators that face dynamic and patchy foraging environments and use a combination of static and ephemeral oceanographic features to locate prey. We compared foraging habitats and behaviors of four species at seven colonies in the eastern and central Pacific Ocean that varied greatly in depth, topography, and primary productivity. Foraging behaviors, recorded by GPS-tracking tags, were compared to remotely sensed environmental features, to characterize habitat-behavior interactions. K-means clustering grouped environmental characteristics into five habitat clusters across the seven sites. We found that boobies relied on a combination of static and ephemeral cues, especially depth, chlorophyll-a concentrations, and sea surface height (ocean surface topography). Notably, foraging behaviors were strongly predicted by local oceanographic habitats across species and sites, suggesting a high degree of behavioral plasticity in use of different foraging cues. Flexibility allows these top predators to adapt to, and exploit, static and ephemeral oceanic features. Plasticity may well facilitate these species, and other similarly dynamic foragers, to cope with increasingly changing environmental conditions.",,,
,,"Managing an invasive corallimorph at Palmyra Atoll National Wildlife Refuge, Line Islands, Central Pacific",paper,NO PARC,-,,http://dx.doi.org/10.1007/s10530-018-1696-1,,,2018,"Work, TM; Aeby, GS; Neal, BP; Price, NN; Conklin, E; Pollock, A",BIOLOGICAL INVASIONS,10.1007/s10530-018-1696-1,"In 2007, a phase shift from corals to corallimorpharians (CM) centered around a shipwreck was documented at Palmyra Atoll, Line Islands. Subsequent surveys revealed CM to be overgrowing the reef benthos, including corals and coralline algae, potentially placing coral ecosystems in the atoll at risk. This prompted the U.S. Fish and Wildlife Service, the lead management agency of the atoll, to remove the shipwreck. Subsequent surveys showed reductions in CM around the ship impact site. We explain patterns of spread of the CM in terms of both life history and local currents and show with a pilot study that pulverized bleach may be an effective tool to eradicate CM on a local scale. If applied strategically, particularly in heavily infested (> 66% cover) areas, active intervention such as this could be an effective management tool to reduce CM impact on localized areas and decrease colonization rate of remaining reefs. This is the first documentation of the response of an invasive cnidarian to shipwreck removal. While this was a singular event in Palmyra, the spatial and temporal patterns of this invasion and the eradications lessons described herein, are useful for anticipating and controlling similar situations elsewhere.",,,
,,Method to design a live coral cover sensitive index for multispectral satellite images,paper,NO PARC,-,,http://dx.doi.org/10.1364/OE.26.00A374,,,2018,"Huang, RY; Yu, KF; Wang, YH; Wang, WH; Mu, L; Wang, JK",OPTICS EXPRESS,10.1364/OE.26.00A374,"Live coral cover (LCC) is regarded as the most efficient indicator of coral reef health. However, LCCs are usually sampled with standardized transect or photo quadrat techniques in field, which are incomplete and labour-intensive. To overcome such difficulties, we study a model to transfer the pixels of multispectral satellite images to quantitative LCCs. The idea is to extend band ratio-based (BR) indices to a novel index constructed using the ratio of different linear combinations (RDLC) of band reflectance and water depths. On the basis of field surveyed LCCs, an empirical process is further proposed to solve the unknown parameters of this RDLC. This approach provides new thinking for designing LCC-sensitive indices for given multispectral satellite images. The experimental results on Weizhou Island and Palmyra Atoll demonstrate that the method is effective and feasible, where the mean relative errors (MREs) arc improved from 45 to 56% for BRs to 23-29% for RDLCs for Weizhou Island. (C) 2018 Optical Society of America under the terms of the OSA Open Access Publishing Agreement",,,
,,MARINE RESERVOIR CORRECTION FOR THE SOUTHERN MARSHALL ISLANDS FOR THE PAST 2500 YEARS,paper,NO PARC,-,,http://dx.doi.org/10.1017/RDC.2017.63,,,2018,"Weisler, MI; Hua, Q; Zhao, JX; Nguyen, AD; Nothdurft, L; Yamano, H; Mihaljevic, M",RADIOCARBON,10.1017/RDC.2017.63,"A robust marine radiocarbon (C-14) reservoir correction (Delta R) is essential for calibrating C-14 dates of marine mollusks and fish bones routinely found in archaeological sites as discarded food remains and bones of terrestrial animals (including humans) with an appreciable marine diet. New Delta R values are reported for the atoll archipelago of the Marshall Islands, eastern Micronesia. Atolls consist of biogenetic material-mostly coral and foraminifera-that can be directly dated for establishing sequences of atoll emergence and islet development. After sectioning and examination using scanning electron microscopy (SEM) to screen for sample diagenesis, 6 pristine branch coral samples were selected from the modern oceanside beach, 3 archaeological sites, and islet developmental facies from Ebon Atoll (4 degrees 34'N, 168 degrees 41'E). Each sample was analyzed by U-series and accelerator mass spectrometry (AMS) C-14 showing no substantial temporal Delta R variations and yielding a weighted mean Delta R of 41 +/- 42 yr(1) spanning similar to 500 yr before earliest human colonization (the period when islets first became habitable) through the entire 2000-yr occupation sequence. Reliable published Delta R values for Micronesia and Delta C-14 data for Palmyra Island, together with our results for Ebon Atoll, indicate that the Pacific North Equatorial Counter Current is almost stable for the past 2500 yr.",,,
,,Porites coral response to an oceanographic and human impact gradient in the Line Islands,paper,NO PARC,-,,http://dx.doi.org/10.1002/lno.10670,,,2017,"Carilli, JE; Hartmann, AC; Heron, SF; Pandolfi, JM; Cobb, K; Sayani, H; Dunbar, R; Sandin, SA",LIMNOLOGY AND OCEANOGRAPHY,10.1002/lno.10670,"Coral bleaching caused by heat stress (warm water) will arguably be the greatest driver of coral reef loss in the coming decades. Understanding how corals have adapted to distinct oceanographic regimes on multiple scales can provide insight into future tolerance and persistence, information critical to directed intervention or targeted protections. The northern Line Islands span a gradient in oceanographic regimes across latitudes, with seawater becoming warmer, fresher, more oligotrophic, and more saturated with aragonite away from the equator. The combination of this regional gradient and island-scale (local) conditions was used as a natural experiment against which to test how massive Porites corals respond to these background conditions and episodic heat stress. We found that coral condition, represented by a metric combining tissue thickness, lipids, and calcification, was similar at almost all islands, though there were differences in how corals allocate resources among these biological parameters. Corals at Teraina, the most densely inhabited island, showed evidence for reduced calcification, potentially associated with human impacts and/or outflow of freshwater from the island. In contrast, Porites corals at Palmyra, a wildlife reserve, exhibited unexpectedly high tissue-condition metrics for its latitude, suggesting an additional food source, possibly plankton-rich lagoonal outflow. We did not find a strong relationship between human habitation and the response of Porites corals to recent heat stress. However, differences in coral calcification rates and energy stores between observed values and those expected based solely on the regional oceanographic gradient, suggests local effects have indirect impacts on these corals.",,,
